song,listener,score,left_bass,right_bass,left_drums,right_drums,left_other,right_other,left_vocals,right_vocals,remix_left,remix_right,remix_score
Al James - Schoolboy Facination,L6036,0.3041977045676008,0.3589502350527498,0.3107155799238357,0.1918368737026512,0.1898307344675309,0.3190596848404472,0.3434991231187831,0.3575152498301409,0.3621741556046681,0.3970163367929678,0.459831145119629,0.4284237409562984
Al James - Schoolboy Facination,L6042,0.2461075803950644,0.2153330917349197,0.2372803663446723,0.2180282190213275,0.2119762639884227,0.2690437487568732,0.2997289426326471,0.2630835912847491,0.2543864193969031,0.8165868563385954,0.7309834950132846,0.77378517567594
AM Contra - Heart Peripheral,L6049,0.1796430426305942,0.1640119861715153,0.160862358888948,0.1131729091609802,0.0960898772958238,0.2033707068618558,0.2035529269181059,0.2482188504486284,0.2478647252988962,0.9078898901427076,0.7378754496426401,0.8228826698926739
Angels In Amplifiers - I'm Alright,L6008,0.2383022529949878,0.2260644617397566,0.2208931060521461,0.1616107910303162,0.1669294918296793,0.2943772970183638,0.3269725068564508,0.251869643950025,0.2577007254831648,0.9345200531905238,0.9149396985095588,0.9247298758500412
Arise - Run Run Run,L6033,0.2977170601159273,0.2598560484863281,0.2269183434025237,0.2872399821487493,0.2165574879046084,0.3641989164350716,0.3150146980783667,0.3812863433939593,0.3306646610778118,0.700991694335815,0.6881772088870811,0.6945844516114481
Ben Carrigan - We'll Talk About It All Tonight,L6045,0.3165251680427846,0.2058634694812887,0.2114769452084126,0.1610292189715262,0.1547749403185077,0.6248858602150054,0.5691981303923743,0.289229764066243,0.3157430156889185,0.9202450284623006,0.9478629014947118,0.9340539649785062
BKS - Bulldozer,L6037,0.289255534310077,0.205367611816515,0.1764199944816226,0.3201680355214245,0.2828397396838219,0.3225212853865085,0.347924558108744,0.3473795234728758,0.3114235260091035,0.4839481972434517,0.7396587032755815,0.6118034502595167
BKS - Too Much,L6023,0.28532959664738,0.1836183899480684,0.166541330323458,0.2537350300046506,0.2367245083878366,0.4401468675262645,0.4738715117493412,0.2792061300670369,0.2487930051723839,0.7716715145096532,0.8060661627855836,0.7888688386476184
Bobby Nobody - Stitch Up,L6041,0.2426564219538141,0.2141797845914033,0.2027868691373781,0.2005180949167165,0.2011312661815523,0.3175955970111504,0.2961362990101613,0.2552439195385798,0.253659545243571,0.914680803683635,0.922119676148244,0.9184002399159394
Buitraker - Revo X,L6007,0.208353537823213,0.1385769941858978,0.1493832358042767,0.1653397124112987,0.1589710526109423,0.3273338831415112,0.3278822425447634,0.2000646684424855,0.1992765134445283,0.9302936462637864,0.823859055827195,0.8770763510454906
Carlos Gonzalez - A Place For Us,L6051,0.2622394533898347,0.1171287577584462,0.1218364006278009,0.1898616771322205,0.1944398754300627,0.5112147398380648,0.474749484765898,0.2486097472821908,0.2400749442839931,0.5124322605135643,0.8668754533602201,0.6896538569368922
Cristina Vane - So Easy,L6050,0.2476462617109163,0.1340169699477909,0.1282416348951858,0.2076835836493893,0.2054871073792905,0.3395600496948993,0.3327629828323572,0.30411932366617,0.3292984416222477,0.8478560653969057,0.8027507049345277,0.8253033851657168
