,107313,122455,148540,169463,184129,197070,198624,211001,213744,240562,260046,264195,278134,284863,293112,303027,324285,332763,335734,339808,342644,355659,366327,397464,425573,443509,443521,457107,458671,469403,520918,534742,549765,550605,553282,577517,583166,585833,589181,592007,615380,617807,626236,657038,683737,686892,715443,732850,733618,745088,757056,757931,Average,STD
Al James - Schoolboy Facination,38,55,33,23.7,75.6,44.8,23.7,8.9,0,62.2,43,11.1,59.6,44.6,74.8,20,67.3,39.4,45.5,73.3,59.3,59.2,53.5,77.8,61.5,61.2,50,31.9,6.8,15.2,65.1,16.5,0,39.4,39.2,41,,28.3,24.5,26.9,7.1,35.8,17.3,28,25.4,54.7,54.1,0,34.5,13.4,35.5,85.2,39.1,22.4
Angels In Amplifiers - I'm Alright,34.9,54.2,13.1,10.8,42.4,74.4,8.4,25.6,0,79.2,27.5,35.8,72.5,60.9,58.5,93,55.1,39.2,56.9,59.3,68.2,67.5,89.5,98.6,82.8,65.4,69.9,39.3,5.7,82.1,63.5,35.9,0,38.3,34.6,67.5,,47.6,23.6,53.4,35.6,65.3,63.4,27.8,23.4,38.6,33.4,5.4,71.4,0,71.8,65.6,47.8,26.2
BKS - Too Much,44,58.1,32.7,36.1,80.4,94.3,39.1,24.4,0,83.5,45.7,62,46.8,39.2,40.6,60.9,56.5,54,37.5,37.4,35.6,67.8,78.2,100,52.7,96.3,67.2,42.8,33.3,84.7,84.5,13.7,0,49.4,58.1,78.5,38.4,30.3,33.4,76.4,20.9,5,48,16.7,95.3,37.8,35.5,,80.8,36.3,43.3,41.9,50.1,25.1
Carlos Gonzalez - A Place For Us,31.6,38.6,26.6,39.3,58,76.7,44.8,7,66.6,29.3,27.7,36.9,44.9,80,89.5,85.9,33.8,58.3,62.2,46.3,39.1,32.7,86.8,61.1,52.9,51.6,66.4,37,32.3,65.3,53.7,27.9,73.1,39.4,31.6,60,,19.1,38.1,48.4,42.4,32.1,22.4,46.1,65.8,18.3,51.9,,61,28,77,56.7,48,19.5
Enda Reilly - Cur An Long Ag Seol,57.3,55.6,10.9,23,10.9,93.8,41,18.7,5.5,80.3,45.1,43.5,64,71.5,39.6,84.5,56,43.1,59.9,72.7,65.6,76,69.7,96.9,78.6,56.9,70.2,39,52.5,88,25,80.3,29.2,83.7,58.8,40.1,50,27.5,67.1,42.8,47.3,77.4,49.9,56.9,99,74.5,59,,67.7,0,66.5,79.3,55.9,24.1
Forkupines – Semantics,38.8,48,22.2,22,59.6,15.2,64.8,0,0,29.5,8.1,70.1,72.3,10.3,8.1,44.9,30,56.5,45.3,58.2,42.2,4.9,15.2,66.2,29.1,87.8,39.8,38,11.4,61.4,47.1,7.3,0,26.2,64.9,60,50,37.1,27.3,43.9,27.1,27.7,38.3,19.3,36.4,4.8,26.1,,30.5,0,57.4,45.8,34.8,22.2
Girls Under Glass - We Feel Alright,36.1,30.4,11.2,0,53,23,13,0,0,62.5,21.1,21.4,7.8,34.5,8.5,19.7,25.5,45,29.2,65.9,55.8,41.2,90.3,32,21.1,73.5,50.8,39.6,12.5,53.9,39.1,1.9,0,6.5,10,41.5,23.6,24.7,24.2,27.1,9.4,1.9,0,55.5,2.9,0,15.7,,25.5,0,32.5,15.2,26.2,21.7
Hollow Ground - Ill Fate,18.2,40.6,0.7,0,35.5,18.5,14.5,35.8,0,30,2.1,60.4,24.7,52.7,25.5,50.2,17.6,36,41.2,38.8,35.2,32.3,14.3,11.2,30.3,64.6,30.1,53.8,24.5,60,42.9,13.2,21.4,10.4,11.2,22.4,,44.5,27.5,50,58.2,2.9,29.7,9.2,1.1,5.6,24.7,,25.5,15.6,58.4,30.6,28.1,18
James Elder & Mark M Thompson - The English Actor,36.4,47.2,12,0,7.9,63.3,20.7,0,0,71.8,13.6,10,2,36.9,40.2,9.6,40,26.4,56.2,60.3,29.8,59.8,16.8,14.3,10.8,11.7,7.2,28.6,10.9,65.6,11.7,9.1,0,9.3,19,15.5,,1.7,8.5,17.5,13.2,6.8,0,26.7,22.1,0,24,,44.3,0,7.9,18.5,21.3,19.8
Little Chicago's Finest - My Own,50,27,53.3,23.4,70.7,46.5,39,35.8,68.2,43.8,13.9,36.6,76.1,61.8,24.7,73.9,40.8,57.7,22.5,75,45.5,71.7,100,50.2,74.5,57.6,58.1,30.7,26.4,76.5,62.8,47.5,28,75.3,33.2,45.2,,57.4,72.3,42.1,26.7,51,52.2,65.2,95.7,82.7,54.6,,57.9,10.9,59.3,77.7,52.6,20.7
M.E.R.C. Music - Knockout,44.9,52.4,24.2,35,41.9,32.1,89.4,0,0,43.5,61.5,46.3,55.4,32.7,75,36.3,45,54.3,62,63.7,54.9,60.6,100,34.8,47.2,76.7,50,47.5,25.8,71.4,48,10.1,34.5,34.2,38.6,53.7,,29.6,12.1,62,42.8,9.2,20.1,53.8,35.3,37,24.2,7.1,41.9,0,75,60.4,43,22.3
